color,date,slug,title,lshow,link,readings,optional,assigned,ashow,due,dshow
white,22-Jan,Intro,,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec1.pdf,Ch 1,,"<a href=""https://github.com/w4111/hw0"">HW 0</a>",1,,
#e7f8ff,24-Jan,Entity-Relationship Modeling,ER Modeling,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec2.pdf,Ch 2,,"<a href=""https://github.com/w4111/hw1-s19"">HW 1</a><br/><a href=""https://github.com/w4111/project1"">Project 1 Part 1.</a> <br/>LOOK FOR TEAMMATE",,"HW 0 Fri 1/25 10AM<br/>You will receive a 0 in this class if HW0 not completed on time -- no exceptions<br/><br/><a href=""https://goo.gl/forms/nlcC9CGvutj1FcnS2"">Deadline to sign up for proj1 matching system</a> 1/25 11:59PM est",1
#e7f8ff,29-Jan,Entity-Relationship Modeling + Nonrelational Models,"More constraints, using ER models",1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec2.pdf,Ch 2,,,,,
#e7f8ff,31-Jan,Relational Model,Dawn before time: non relational models.,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec3.pdf,Ch 3,"optional: <a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a><br/>optional: <a href=""https://highlyscalable.wordpress.com/2012/03/01/nosql-data-modeling-techniques/"">NoSQL data modeling techniques</a>","<a href=""https://github.com/w4111/advanced-public/blob/master/aa1.md"">AA1</a>",,Formed team for Project 1 (no deliverable)<br/><br/>HW 1 Part 1 (ER diagram) 10AM (digital copy),
#e7f8ff,5-Feb,Relational Model,ER and Relational Review.,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec3.pdf,Ch 3,"optional: <a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a>",,,Project 1 Part 1 approval phase ,
#e7f8ff,7-Feb,ER to Relational Model Demo,,1,https://www.instabase.com/ewu/w4111-public/fs/Instabase%20Drive/Examples/ertosql.ipynb,Ch 3,"optional: <a href=""./reading/codd.pdf"">Original Relational Model paper</a>",,,Project 1 Part 1 approval phase ,
#f2f9ed,12-Feb,Relational Algebra,,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec4.pdf,Ch 4,,,,Project 1 Part 1 approval phase,
#f2f9ed,14-Feb,Relational Alg,,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec4.pdf,Ch 4,,"<a href=""https://github.com/w4111/project1"">Project 1 Part 2.</a> <br/><a href=""https://github.com/w4111/advanced-public/blob/master/aa2.md"">AA2</a>",,Project 1 Part 1  10AM digital copy<br/>AA1 10AM,
#f2f9ed,15-Feb,,,,,,,,,HW1 Part 2 Schema 11:59PM ,
#f2f9ed,19-Feb,"SQL: Basics, Joins",,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec5.pdf,Ch 5,,,,,
